Gas cycle set,default
1971,0.259088577
1972,0.263513831
1973,0.283487057
1974,0.300076617
1975,0.288008567
1976,0.287346835
1977,0.321776515
1978,0.358342445
1979,0.392227038
1980,0.416980582
1981,0.433799445
1982,0.428054333
1983,0.377080361
1984,0.356641638
1985,0.400033312
1986,0.442378642
1987,0.475749826
1988,0.513345363
1989,0.556096709
1990,0.594498707
1991,0.571229002
1992,0.434240779
1993,0.364505125
1994,0.451268326
1995,0.549663316
1996,0.618774894
1997,0.66879675
1998,0.706619124
1999,0.744401951
2000,0.789738172
2001,0.834504312
2002,0.871201308
2003,0.893102176
2004,0.906129226
2005,0.920303115
2006,0.934067477
2007,0.94938191
2008,0.971013095
2009,0.99744209
2010,1.027867513
2011,1.060578025
2012,1.093242807
2013,1.128052242
2014,1.160388806
2015,1.188548102
2016,1.216152134
2017,1.245680812
2018,1.276075376
2019,1.306621523
2020,1.337618759
2021,1.370965004
2022,1.406448441
2023,1.440633154
2024,1.471513037
2025,1.498296072
2026,1.521372205
2027,1.542130441
2028,1.562520236
2029,1.582927227
2030,1.603049203
2031,1.623558336
2032,1.64527542
2033,1.670069098
2034,1.699098366
2035,1.728798041
2036,1.757399973
2037,1.784007017
2038,1.808389422
2039,1.831110172
2040,1.851129568
2041,1.870033658
2042,1.88951463
2043,1.910754968
2044,1.933979069
2045,1.960636481
2046,1.989838578
2047,2.019720479
2048,2.048472385
2049,2.07304227
2050,2.092889181
2051,2.110695036
2052,2.128338807
2053,2.145682283
2054,2.164004842
2055,2.18495977
2056,2.208612509
2057,2.231907786
2058,2.253471803
2059,2.274499349
2060,2.293200091
2061,2.30903149
2062,2.323774974
2063,2.338650444
2064,2.354273291
2065,2.370909901
2066,2.390249616
2067,2.412253916
2068,2.434430937
2069,2.454431161
2070,2.471230892
2071,2.485218548
2072,2.498068087
2073,2.511153107
2074,2.523893626
2075,2.536430787
2076,2.549146525
2077,2.562573446
2078,2.577905934
2079,2.594991221
2080,2.612516604
2081,2.628909543
2082,2.643657174
2083,2.656312036
2084,2.667399881
2085,2.67693214
2086,2.685018969
2087,2.693708454
2088,2.703366398
2089,2.714571377
2090,2.728337854
2091,2.74343835
2092,2.759004498
2093,2.772350965
2094,2.780927197
2095,2.786721065
2096,2.791039661
2097,2.795099764
2098,2.799734741
2099,2.805586574
2100,2.830099952
